User,Location,Weekday,Start,End,RelativeFrequency
F176,Therapy Room,Monday,10:15,11:29,0.0
F176,Therapy Room,Monday,11:30,13:00,1.0
F176,Therapy Room,Monday,13:30,15:44,0.0
F176,Therapy Room,Monday,15:45,16:15,0.0
F176,Therapy Room,Monday,16:45,17:59,1.0
F176,Therapy Room,Monday,18:00,19:30,1.0
F176,Therapy Room,Tuesday,10:15,11:29,0.0
F176,Therapy Room,Tuesday,11:30,13:00,1.0
F176,Therapy Room,Tuesday,13:30,15:44,0.0
F176,Therapy Room,Tuesday,15:45,16:15,0.0
F176,Therapy Room,Tuesday,16:45,17:59,0.9763
F176,Therapy Room,Tuesday,18:00,19:30,0.0
F176,Therapy Room,Wednesday,10:15,11:29,0.0
F176,Therapy Room,Wednesday,11:30,13:00,1.0
F176,Therapy Room,Wednesday,13:30,15:44,0.0
F176,Therapy Room,Wednesday,15:45,16:15,0.0
F176,Therapy Room,Wednesday,16:45,17:59,1.0
F176,Therapy Room,Wednesday,18:00,19:30,1.0
F176,Therapy Room,Thursday,10:15,11:29,0.0
F176,Therapy Room,Thursday,11:30,13:00,1.0
F176,Therapy Room,Thursday,13:30,15:44,0.0
F176,Therapy Room,Thursday,15:45,16:15,0.0
F176,Therapy Room,Thursday,16:45,17:59,0.9763
F176,Therapy Room,Thursday,18:00,19:30,0.0
F176,Therapy Room,Friday,10:15,11:29,0.0
F176,Therapy Room,Friday,11:30,13:00,1.0
F176,Therapy Room,Friday,13:30,15:44,0.0
F176,Therapy Room,Friday,15:45,16:15,0.0
F176,Therapy Room,Friday,16:45,17:59,0.9763
F176,Therapy Room,Friday,18:00,19:30,0.0
F176,Therapy Room,Saturday,10:15,11:29,0.0
F176,Therapy Room,Saturday,11:30,13:00,1.0
F176,Therapy Room,Saturday,13:30,15:44,0.0
F176,Therapy Room,Saturday,15:45,16:15,0.0
F176,Therapy Room,Saturday,16:45,17:59,0.9763
F176,Therapy Room,Saturday,18:00,19:30,0.0
F176,Therapy Room,Sunday,10:15,11:29,0.0
F176,Therapy Room,Sunday,11:30,13:00,1.0
F176,Therapy Room,Sunday,13:30,15:44,0.0
F176,Therapy Room,Sunday,15:45,16:15,0.0
F176,Therapy Room,Sunday,16:45,17:59,0.9763
F176,Therapy Room,Sunday,18:00,19:30,0.0
F176,Gym,Monday,10:15,11:29,1.0
F176,Gym,Monday,11:30,13:00,0.0
F176,Gym,Monday,13:30,15:44,0.0
F176,Gym,Monday,15:45,16:15,0.0
F176,Gym,Monday,16:45,17:59,0.0
F176,Gym,Monday,18:00,19:30,0.0
F176,Gym,Tuesday,10:15,11:29,1.0
F176,Gym,Tuesday,11:30,13:00,0.0
F176,Gym,Tuesday,13:30,15:44,0.0
F176,Gym,Tuesday,15:45,16:15,0.0
F176,Gym,Tuesday,16:45,17:59,0.0
F176,Gym,Tuesday,18:00,19:30,0.0
F176,Gym,Wednesday,10:15,11:29,1.0
F176,Gym,Wednesday,11:30,13:00,0.0
F176,Gym,Wednesday,13:30,15:44,0.0
F176,Gym,Wednesday,15:45,16:15,0.0
F176,Gym,Wednesday,16:45,17:59,0.0
F176,Gym,Wednesday,18:00,19:30,0.0
F176,Gym,Thursday,10:15,11:29,1.0
F176,Gym,Thursday,11:30,13:00,0.0
F176,Gym,Thursday,13:30,15:44,0.0
F176,Gym,Thursday,15:45,16:15,0.0
F176,Gym,Thursday,16:45,17:59,0.0
F176,Gym,Thursday,18:00,19:30,0.0
F176,Gym,Friday,10:15,11:29,1.0
F176,Gym,Friday,11:30,13:00,0.0
F176,Gym,Friday,13:30,15:44,0.0
F176,Gym,Friday,15:45,16:15,0.0
F176,Gym,Friday,16:45,17:59,0.0
F176,Gym,Friday,18:00,19:30,0.0
F176,Gym,Saturday,10:15,11:29,1.0
F176,Gym,Saturday,11:30,13:00,0.0
F176,Gym,Saturday,13:30,15:44,0.0
F176,Gym,Saturday,15:45,16:15,0.0
F176,Gym,Saturday,16:45,17:59,0.0
F176,Gym,Saturday,18:00,19:30,0.0
F176,Gym,Sunday,10:15,11:29,1.0
